word,feminine,neuter,comparative,superlative,adverb,declension,adj_stem
acarnanicus,acarnanica,acarnanicum,acarnanicior,acarnanicissimus,acarnanice,12,acarnanic
Achaicus,Achaica,Achaicum,Achaicior,Achaicissimus,Achaice,12,Achaic
Achivus,Achiva,Achivum,Achivior,Achivissimus,Achive,12,Achiv
Acherusius,Acherusia,Acherusium,Acherusiior,Acherusiissimus,Acherusie,12,Acherusi
Acheloius,Acheloia,Acheloium,Acheloiior,Acheloiissimus,Acheloie,12,Acheloi
Acidalius,Acidalia,Acidalium,Acidaliior,Acidaliissimus,Acidalie,12,Acidali
Actaeus,Actaea,Actaeum,Actaeior,Actaeissimus,Actaee,12,Actae
actiacus,actiaca,actiacum,actiacior,actiacissimus,actiace,12,actiac
clamatorius,clamatoria,clamatorium,clamatoriior,clamatoriissimus,clamatorie,12,clamatori
alimentarius,alimentaria,alimentarium,alimentariior,alimentariissimus,alimentarie,12,alimentari
igniarius,igniaria,igniarium,igniariior,igniariissimus,igniarie,12,igniari
opiparus,opipara,opiparum,opiparior,opiparissimus,opipare,12,opipar
implumis,implumis,implume,implumior,implumissimus,implumiter,3,implum
acriculus,acricula,acriculum,acriculior,acriculissimus,acricule,12,acricul
adamanteus,adamantea,adamanteum,adamanteior,adamanteissimus,adamantee,12,adamante
adulatorius,adulatoria,adulatorium,adulatoriior,adulatoriissimus,adulatorie,12,adulatori
aeripes,aeripes,aeripes,aeripedior,aeripedissimus,aeripediter,3,aeriped
acutulus,acutula,acutulum,acutulior,acutulissimus,acutule,12,acutul
accommodus,accommoda,accommodum,accommodior,accommodissimus,accommode,12,accommod
aenipes,aenipes,aenipes,aenipedior,aenipedissimus,aenipediter,3,aeniped
aesculeus,aesculea,aesculeum,aesculeior,aesculeissimus,aesculee,12,aescule
aequaevus,aequaeva,aequaevum,aequaevior,aequaevissimus,aequaeve,12,aequaev
alipes,alipes,alipes,alipedior,alipedissimus,alipediter,3,aliped
altivolans,altivolans,altivolans,altivolantior,altivolantissimus,altivolantter,3,altivolant
anguicomus,anguicoma,anguicomum,anguicomior,anguicomissimus,anguicome,12,anguicom
anguinus,anguina,anguinum,anguinior,anguinissimus,anguine,12,anguin
anxifer,anxifera,anxiferum,anxiferior,anxiferrimus,anxifere,12,anxifer
ingustatus,ingustata,ingustatum,ingustatior,ingustatissimus,ingustate,12,ingustat
ingustabilis,ingustabilis,ingustabile,ingustabilior,ingustabilissimus,ingustabiliter,3,ingustabil
antemeridianus,antemeridiana,antemeridianum,antemeridianior,antemeridianissimus,antemeridiane,12,antemeridian
anguifer,anguifera,anguiferum,anguiferior,anguiferrimus,anguifere,12,anguifer
anguineus,anguinea,anguineum,anguineior,anguineissimus,anguinee,12,anguine
aquatilis,aquatilis,aquatile,aquatilior,aquatilissimus,aquatiliter,3,aquatil
armentalis,armentalis,armentale,armentalior,armentalissimus,armentaliter,3,armental
arbuteus,arbutea,arbuteum,arbuteior,arbuteissimus,arbutee,12,arbute
argutulus,argutula,argutulum,argutulior,argutulissimus,argutule,12,argutul
aquilonius,aquilonia,aquilonium,aquiloniior,aquiloniissimus,aquilonie,12,aquiloni
barbatulus,barbatula,barbatulum,barbatulior,barbatulissimus,barbatule,12,barbatul
bifrons,bifrons,bifrons,bifrontior,bifrontissimus,bifrontter,3,bifront
biforis,biforis,bifore,biforior,biforissimus,biforiter,3,bifor
bicorpor,bicorpor,bicorpor,bicorporior,bicorporissimus,bicorporiter,3,bicorpor
bimaris,bimaris,bimare,bimarior,bimarissimus,bimariter,3,bimar
bigatus,bigata,bigatum,bigatior,bigatissimus,bigate,12,bigat
bilustris,bilustris,bilustre,bilustrior,bilustrissimus,bilustriter,3,bilustr
bimembris,bimembris,bimembre,bimembrior,bimembrissimus,bimembriter,3,bimembr
bipennifer,bipennifera,bipenniferum,bipenniferior,bipenniferrimus,bipennifere,12,bipennifer
bimestris,bimestris,bimestre,bimestrior,bimestrissimus,bimestriter,3,bimestr
bucerus,bucera,bucerum,bucerior,bucerissimus,bucere,12,bucer
bisulcus,bisulca,bisulcum,bisulcior,bisulcissimus,bisulce,12,bisulc
acclivus,accliva,acclivum,acclivior,acclivissimus,acclive,12,accliv
caetratus,caetrata,caetratum,caetratior,caetratissimus,caetrate,12,caetrat
caducifer,caducifera,caduciferum,caduciferior,caduciferrimus,caducifere,12,caducifer
caenosus,caenosa,caenosum,caenosior,caenosissimus,caenose,12,caenos
caprigenus,caprigena,caprigenum,caprigenior,caprigenissimus,caprigene,12,caprigen
candidulus,candidula,candidulum,candidulior,candidulissimus,candidule,12,candidul
catagraphus,catagrapha,catagraphum,catagraphior,catagraphissimus,catagraphe,12,catagraph
cardiacus,cardiaca,cardiacum,cardiacior,cardiacissimus,cardiace,12,cardiac
centumgeminus,centumgemina,centumgeminum,centumgeminior,centumgeminissimus,centumgemine,12,centumgemin
causarius,causaria,causarium,causariior,causariissimus,causarie,12,causari
ceromaticus,ceromatica,ceromaticum,ceromaticior,ceromaticissimus,ceromatice,12,ceromatic
cerussatus,cerussata,cerussatum,cerussatior,cerussatissimus,cerussate,12,cerussat
circumpadanus,circumpadana,circumpadanum,circumpadanior,circumpadanissimus,circumpadane,12,circumpadan
circumsonus,circumsona,circumsonum,circumsonior,circumsonissimus,circumsone,12,circumson
circumtextus,circumtexta,circumtextum,circumtextior,circumtextissimus,circumtexte,12,circumtext
clarisonus,clarisona,clarisonum,clarisonior,clarisonissimus,clarisone,12,clarison
classiarius,classiaria,classiarium,classiariior,classiariissimus,classiarie,12,classiari
